category,sub_id,sub_name,title,artist,videoId,url,license,source,length_sec,focus,origin
A 시스템,A1_prelude,프렐류드/타이틀,"""Essence Of War"" Video Game Opening Theme",Darren Curtis,8_KU9O1s-3Y,https://www.youtube.com/watch?v=8_KU9O1s-3Y,Free with attribution,https://www.darrencurtismusic.com/,168,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,"Prelude No. 8 in F-sharp minor, Op. 2h - Steven O'Brien",Steven O'Brien,bBEheNZlQUU,https://www.youtube.com/watch?v=bBEheNZlQUU,CC BY 4.0,https://www.steven-obrien.net/,62,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,If Dog Breeds Had A Theme Song,Alexander Nakarada,kZ7GooKFt5Q,https://www.youtube.com/watch?v=kZ7GooKFt5Q,CC BY 4.0,https://www.creatorchords.com/,66,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,Stargate SG-1 Main Theme (Orchestral Mock-up),Scott Buckley,bX5aCJbksGg,https://www.youtube.com/watch?v=bX5aCJbksGg,CC BY 4.0,https://www.scottbuckley.com.au/,67,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,Alexandr Zhelanov - Buest Main Menu (Buest: Fury Of The North OST 2020),Alexandr Zhelanov,SqXbQWgfo_0,https://www.youtube.com/watch?v=SqXbQWgfo_0,CC BY 3.0/4.0,https://soundcloud.com/alexandr-zhelanov,87,1,channel
A 시스템,A1_prelude,프렐류드/타이틀,"Retro Slam Tennis Theme Song - ""8 Bit Tennis""",HeatleyBros,kOfL1jhMTl8,https://www.youtube.com/watch?v=kOfL1jhMTl8,Free with attribution,https://www.heatleybros.com/,251,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,ループ -回想・タイトル・切ないBGM by hitoshi /,Senses Circuit,Q7K1uAVS0E4,https://www.youtube.com/watch?v=Q7K1uAVS0E4,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,151,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,Halloween Main Theme Epic Orchestral Remix,Darren Curtis,oww5iozvCmU,https://www.youtube.com/watch?v=oww5iozvCmU,Free with attribution,https://www.darrencurtismusic.com/,159,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,"NFL Retro Bowl '27 Theme Song - ""8 Bit Sport""",HeatleyBros,c0R0TeALd0U,https://www.youtube.com/watch?v=c0R0TeALd0U,Free with attribution,https://www.heatleybros.com/,246,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Retro Bowl College Theme Song - “8 Bit Life”,HeatleyBros,orQOPJMy9Ww,https://www.youtube.com/watch?v=orQOPJMy9Ww,Free with attribution,https://www.heatleybros.com/,244,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,"""Press Start!"" Upbeat Inspiring Chiptune Game Music",HeatleyBros,LFwB-Hk1350,https://www.youtube.com/watch?v=LFwB-Hk1350,Free with attribution,https://www.heatleybros.com/,237,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,"""8 Bit Street!"" Appel Theme Song",HeatleyBros,kGemKgdFYWg,https://www.youtube.com/watch?v=kGemKgdFYWg,Free with attribution,https://www.heatleybros.com/,205,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,"NFL Retro Bowl '26 Theme Song - ""8 Bit Action""",HeatleyBros,wZU0CDx4NVY,https://www.youtube.com/watch?v=wZU0CDx4NVY,Free with attribution,https://www.heatleybros.com/,243,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,'One Eye on the Stars' -- Star Trek: Picard Main Theme -- Re-orchestrated,Scott Buckley,4STVg5APNzg,https://www.youtube.com/watch?v=4STVg5APNzg,CC BY 4.0,https://www.scottbuckley.com.au/,123,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,Frozen Sword Title Theme: Frozen Sword Soundtrack,Darren Curtis,4V1vT_vXmBE,https://www.youtube.com/watch?v=4V1vT_vXmBE,Free with attribution,https://www.darrencurtismusic.com/,174,3,channel
A 시스템,A2_victory,승리 팡파레,Fretless,Kevin MacLeod,-9TuLJTwKi8,https://www.youtube.com/watch?v=-9TuLJTwKi8,CC BY 4.0,https://incompetech.com/,336,2,incompetech
A 시스템,A2_victory,승리 팡파레,"Alpha Hydrae- Keratine, rust and clear soul",Loyalty Freak Music / Komiku,-LW6nQtXe10,https://www.youtube.com/watch?v=-LW6nQtXe10,CC0,https://loyaltyfreakmusic.com/,304,2,channel
A 시스템,A2_victory,승리 팡파레,Clear Waters - Orchestra/Background,TeknoAXE,nuQehxoLYWU,https://www.youtube.com/watch?v=nuQehxoLYWU,CC BY 4.0,https://teknoaxe.com/,216,2,channel
A 시스템,A2_victory,승리 팡파레,'Victor Lux' Inspirational Orchestral,Scott Buckley,01PUw8l9fi4,https://www.youtube.com/watch?v=01PUw8l9fi4,CC BY 4.0,https://www.scottbuckley.com.au/,203,2,channel
A 시스템,A2_victory,승리 팡파레,"Victory Lap - 2HTC, Season 24",Ben Burnes (Abstraction),9JzPqUQ9l5E,https://www.youtube.com/watch?v=9JzPqUQ9l5E,Free with attribution,https://abstractionmusic.com/,200,2,channel
A 시스템,A2_victory,승리 팡파레,"Uplifting Corporate Beat ""Keys for Success""",Darren Curtis,wl5gSXKcG1Q,https://www.youtube.com/watch?v=wl5gSXKcG1Q,Free with attribution,https://www.darrencurtismusic.com/,191,2,channel
A 시스템,A2_victory,승리 팡파레,Free Fanfare & Gentle Orchestral Music “Departure”,PeriTune,ViL66pqdEqc,https://www.youtube.com/watch?v=ViL66pqdEqc,CC BY 4.0,https://peritune.com/,161,2,channel
A 시스템,A2_victory,승리 팡파레,"NFL Retro Bowl '25 Super Bowl Victory Theme Song - ""8 Bit Victory""",HeatleyBros,HnSKC1UlYO8,https://www.youtube.com/watch?v=HnSKC1UlYO8,Free with attribution,https://www.heatleybros.com/,162,1,channel
A 시스템,A2_victory,승리 팡파레,Road to Victory,DOVA-SYNDROME (official),bmRduWbBm2Q,https://www.youtube.com/watch?v=bmRduWbBm2Q,Free (DOVA-SYNDROME license),https://dova-s.jp/,157,1,channel
A 시스템,A2_victory,승리 팡파레,The Triumph of Technology v001,Eric Matyas (Soundimage.org),j1O76ckTjU4,https://www.youtube.com/watch?v=j1O76ckTjU4,Free with attribution,https://soundimage.org/,149,1,channel
A 시스템,A2_victory,승리 팡파레,Alexandr Zhelanov - Win or Die,Alexandr Zhelanov,HYd1vv0FriQ,https://www.youtube.com/watch?v=HYd1vv0FriQ,CC BY 3.0/4.0,https://soundcloud.com/alexandr-zhelanov,147,1,channel
A 시스템,A2_victory,승리 팡파레,ループ -成功・勝利・クリアBGM by hitoshi /,Senses Circuit,DHDkLGw_Aa0,https://www.youtube.com/watch?v=DHDkLGw_Aa0,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,140,1,channel
A 시스템,A2_victory,승리 팡파레,Background Music // Heroic Fanfare,Alexander Nakarada,_33UPAjRXkQ,https://www.youtube.com/watch?v=_33UPAjRXkQ,CC BY 4.0,https://www.creatorchords.com/,97,1,channel
A 시스템,A2_victory,승리 팡파레,Victory of Angels,Tim Beek,hmA-DPbPS_E,https://www.youtube.com/watch?v=hmA-DPbPS_E,Free with attribution (timbeek.com),https://timbeek.com/,70,1,channel
A 시스템,A2_victory,승리 팡파레,Despair and Triumph,Kevin MacLeod,LYxzxcRimLA,https://www.youtube.com/watch?v=LYxzxcRimLA,CC BY 4.0,https://incompetech.com/,283,2,incompetech
A 시스템,A2_victory,승리 팡파레,'Clear Skies' Uplifting Orchestral,Scott Buckley,5XEotddQbPY,https://www.youtube.com/watch?v=5XEotddQbPY,CC BY 4.0,https://www.scottbuckley.com.au/,196,2,channel
A 시스템,A2_victory,승리 팡파레,"Music for Battle ""You'll Ne Win"" Free Epic Cinematic Theme for Games and Movies",Darren Curtis,-3OdXB9lP5Y,https://www.youtube.com/watch?v=-3OdXB9lP5Y,Free with attribution,https://www.darrencurtismusic.com/,135,1,channel
A 시스템,A2_victory,승리 팡파레,"""8 Bit Win!"" Victorious Chiptune As Featured in 빵빵이의 일상 (Bbangbbang's Daily Life)",HeatleyBros,vX1xq4Ud2z8,https://www.youtube.com/watch?v=vX1xq4Ud2z8,Free with attribution,https://www.heatleybros.com/,141,1,channel
A 시스템,A2_victory,승리 팡파레,The Triumph of the Clock Maker,Eric Matyas (Soundimage.org),gTA8RolsjqQ,https://www.youtube.com/watch?v=gTA8RolsjqQ,Free with attribution,https://soundimage.org/,51,1,channel
A 시스템,A2_victory,승리 팡파레,Alexandr Zhelanov - Triumph (FREE TO USE),Alexandr Zhelanov,Bf94Rym_yAY,https://www.youtube.com/watch?v=Bf94Rym_yAY,CC BY 3.0/4.0,https://soundcloud.com/alexandr-zhelanov,53,1,channel
A 시스템,A2_victory,승리 팡파레,ループ -成功 クリア ボーナスステージBGM by hitoshi /,Senses Circuit,ABgtG08rIkg,https://www.youtube.com/watch?v=ABgtG08rIkg,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,140,1,channel
A 시스템,A2_victory,승리 팡파레,"9. ""We Are Victorious!"" - Royalty Free Epic Game/Film Music",Alexander Nakarada,rarAHAuASIc,https://www.youtube.com/watch?v=rarAHAuASIc,CC BY 4.0,https://www.creatorchords.com/,89,1,channel
A 시스템,A2_victory,승리 팡파레,Fireflies and Stardust,Kevin MacLeod,0c6KrogjGKI,https://www.youtube.com/watch?v=0c6KrogjGKI,CC BY 4.0,https://incompetech.com/,255,2,incompetech
A 시스템,A2_victory,승리 팡파레,"""HAPPY VICTORY!"" 10,000 SUBS Victory Song!",HeatleyBros,_sBrZVblrKs,https://www.youtube.com/watch?v=_sBrZVblrKs,Free with attribution,https://www.heatleybros.com/,78,1,channel
A 시스템,A2_victory,승리 팡파레,Clear Deep Blue by hitoshi /,Senses Circuit,0ePhikjRVlk,https://www.youtube.com/watch?v=0ePhikjRVlk,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,135,1,channel
A 시스템,A2_victory,승리 팡파레,Clear Blue Sky ( Ready),Alexander Nakarada,zdDv96xm4Fc,https://www.youtube.com/watch?v=zdDv96xm4Fc,CC BY 4.0,https://www.creatorchords.com/,79,1,channel
A 시스템,A2_victory,승리 팡파레,On Hold for You,Kevin MacLeod,pc_xWN-sUh4,https://www.youtube.com/watch?v=pc_xWN-sUh4,CC BY 4.0,https://incompetech.com/,218,2,incompetech
A 시스템,A2_victory,승리 팡파레,ループ -かわいい パスワード入力 勝利後ループ by hitoshi /,Senses Circuit,jiF8J1tn-yU,https://www.youtube.com/watch?v=jiF8J1tn-yU,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,125,1,channel
A 시스템,A2_victory,승리 팡파레,Orchestral Fanfare → Fanfare X,Alexander Nakarada,kmXnfkqNtq0,https://www.youtube.com/watch?v=kmXnfkqNtq0,CC BY 4.0,https://www.creatorchords.com/,79,1,channel
A 시스템,A2_victory,승리 팡파레,Winner Winner!,Kevin MacLeod,pOwqrm5dDcg,https://www.youtube.com/watch?v=pOwqrm5dDcg,CC BY 4.0,https://incompetech.com/,198,2,incompetech
A 시스템,A2_victory,승리 팡파레,ループ -流れ星 希望 勝利後ループBGM by hitoshi /,Senses Circuit,oVvz4NVBmbU,https://www.youtube.com/watch?v=oVvz4NVBmbU,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,110,1,channel
A 시스템,A2_victory,승리 팡파레,Orchestral Fanfare → Victory! ( ),Alexander Nakarada,7VYjIJMZfo8,https://www.youtube.com/watch?v=7VYjIJMZfo8,CC BY 4.0,https://www.creatorchords.com/,40,1,channel
A 시스템,A2_victory,승리 팡파레,Christmas Rap,Kevin MacLeod,kOqyC8h2_-M,https://www.youtube.com/watch?v=kOqyC8h2_-M,CC BY 4.0,https://incompetech.com/,187,2,incompetech
A 시스템,A2_victory,승리 팡파레,Delightful D,Kevin MacLeod,7uBohM8hlds,https://www.youtube.com/watch?v=7uBohM8hlds,CC BY 4.0,https://incompetech.com/,184,2,incompetech
A 시스템,A2_victory,승리 팡파레,Neon Laser Horizon,Kevin MacLeod,EYcAo2DGoKU,https://www.youtube.com/watch?v=EYcAo2DGoKU,CC BY 4.0,https://incompetech.com/,178,1,incompetech
A 시스템,A2_victory,승리 팡파레,Fife and Drum,Kevin MacLeod,3SOqOilkVWk,https://www.youtube.com/watch?v=3SOqOilkVWk,CC BY 4.0,https://incompetech.com/,59,1,incompetech
A 시스템,A2_victory,승리 팡파레,Ashton Manor,Kevin MacLeod,UdpFVACjzXM,https://www.youtube.com/watch?v=UdpFVACjzXM,CC BY 4.0,https://incompetech.com/,44,1,incompetech
A 시스템,A2_victory,승리 팡파레,The Curtain Rises,Kevin MacLeod,xHsdvIk6ib8,https://www.youtube.com/watch?v=xHsdvIk6ib8,CC BY 4.0,https://incompetech.com/,28,1,incompetech
A 시스템,A2_victory,승리 팡파레,Farm,Kevin MacLeod,Dx2P1Y3fo3g,https://www.youtube.com/watch?v=Dx2P1Y3fo3g,CC BY 4.0,https://incompetech.com/,292,2,incompetech
A 시스템,A2_victory,승리 팡파레,"Epic Uplifting Victory Music - ""Glory"" - Royalty",Alexander Nakarada,5mnxU2xVXpM,https://www.youtube.com/watch?v=5mnxU2xVXpM,CC BY 4.0,https://www.creatorchords.com/,172,1,channel
A 시스템,A3_levelup,레벨업/획득,The Sky of our Ancestors,Kevin MacLeod,ea1CuVPb_NI,https://www.youtube.com/watch?v=ea1CuVPb_NI,CC BY 4.0,https://incompetech.com/,431,2,incompetech
A 시스템,A3_levelup,레벨업/획득,Found Poetry,Nihilore,w3cTB_xsuQs,https://www.youtube.com/watch?v=w3cTB_xsuQs,CC BY 4.0,https://www.nihilore.com/,351,2,channel
A 시스템,A3_levelup,레벨업/획득,"Team Level Up Theme Song -""8 Bit Power!""",HeatleyBros,UJ9NbyPFTvY,https://www.youtube.com/watch?v=UJ9NbyPFTvY,Free with attribution,https://www.heatleybros.com/,320,2,channel
A 시스템,A3_levelup,레벨업/획득,Piano Improvisation (Groupees.com Top Contributors Reward),Alexander Nakarada,G8hF55et0vU,https://www.youtube.com/watch?v=G8hF55et0vU,CC BY 4.0,https://www.creatorchords.com/,300,2,channel
A 시스템,A3_levelup,레벨업/획득,Kai Engel - Nothing (Bonus Track) - Music,Kai Engel,MHB9-rCLQgY,https://www.youtube.com/watch?v=MHB9-rCLQgY,CC BY 4.0,https://www.kai-engel.com/,293,2,channel
A 시스템,A3_levelup,레벨업/획득,Low Rez Bells that Jingle - Lo Fi Christmas,TeknoAXE,LfN_0ubvVeE,https://www.youtube.com/watch?v=LfN_0ubvVeE,CC BY 4.0,https://teknoaxe.com/,257,2,channel
A 시스템,A3_levelup,레벨업/획득,Pirate Music - Buried Treasure,Derek & Brandon Fiechter,odeOHM_RjYo,https://www.youtube.com/watch?v=odeOHM_RjYo,Free with attribution (non-commercial),https://www.youtube.com/@Fiechters,212,2,channel
A 시스템,A3_levelup,레벨업/획득,Komiku - Un coin loin du monde,Loyalty Freak Music / Komiku,w8dDjJBNTHg,https://www.youtube.com/watch?v=w8dDjJBNTHg,CC0,https://loyaltyfreakmusic.com/,212,2,channel
A 시스템,A3_levelup,레벨업/획득,"RPG Battle Result Jingle & BGM (Celtic) ""Result_Celtic""",PeriTune,_YFGbbITKIs,https://www.youtube.com/watch?v=_YFGbbITKIs,CC BY 4.0,https://peritune.com/,172,1,channel
A 시스템,A3_levelup,레벨업/획득,Chime Chase,Ross Bugden,M36NSngoYzI,https://www.youtube.com/watch?v=M36NSngoYzI,Free with attribution,https://www.youtube.com/@RossBugden,132,1,channel
A 시스템,A3_levelup,레벨업/획득,Pocket Playground OST - Coin Quest,Ben Burnes (Abstraction),EvyusSHSOVs,https://www.youtube.com/watch?v=EvyusSHSOVs,Free with attribution,https://abstractionmusic.com/,128,1,channel
A 시스템,A3_levelup,레벨업/획득,レベルアップ かえるのうたをどんどんおしゃれにしていく動画,ハヤシユウ,YNYFygazljA,https://www.youtube.com/watch?v=YNYFygazljA,Free (DOVA-SYNDROME license),https://dova-s.jp/,124,1,channel
A 시스템,A3_levelup,레벨업/획득,Treasure in the heart,DOVA-SYNDROME (official),NJ24DHzqfrc,https://www.youtube.com/watch?v=NJ24DHzqfrc,Free (DOVA-SYNDROME license),https://dova-s.jp/,115,1,channel
A 시스템,A3_levelup,레벨업/획득,Meydän - Unlocked,Meydän,7zPbWjMm6jQ,https://www.youtube.com/watch?v=7zPbWjMm6jQ,CC BY 4.0,https://meydan.bandcamp.com/,111,1,channel
A 시스템,A3_levelup,레벨업/획득,Sergey Cheremisinov - The Signals - She Wolf In My Heart (bonus) ( music),Sergey Cheremisinov,0GAxlpz6Bww,https://www.youtube.com/watch?v=0GAxlpz6Bww,CC BY 4.0,https://www.cheremisinov.com/,105,1,channel
A 시스템,A3_levelup,레벨업/획득,Of Puzzles and Treasure,Eric Matyas (Soundimage.org),VeTMyQ_BOZE,https://www.youtube.com/watch?v=VeTMyQ_BOZE,Free with attribution,https://soundimage.org/,103,1,channel
A 시스템,A3_levelup,레벨업/획득,"Wintry Holiday Music ""A Season to Remember"" Free Christmas Jingle Bells, Horns and Strings",Darren Curtis,JL44xjhg16E,https://www.youtube.com/watch?v=JL44xjhg16E,Free with attribution,https://www.darrencurtismusic.com/,88,1,channel
A 시스템,A3_levelup,레벨업/획득,Jingle Bells 8Bit,Tim Beek,ZX4Q1EF9tzQ,https://www.youtube.com/watch?v=ZX4Q1EF9tzQ,Free with attribution (timbeek.com),https://timbeek.com/,64,1,channel
A 시스템,A3_levelup,레벨업/획득,"Dad's Cookies Jingle - CFCN 12"" acetate",Lee Rosevere,8CNj-mevWxs,https://www.youtube.com/watch?v=8CNj-mevWxs,CC BY 4.0,https://leerosevere.bandcamp.com/,34,1,channel
A 시스템,A3_levelup,레벨업/획득,Sil Flame,Kevin MacLeod,qH_HfGeD1q0,https://www.youtube.com/watch?v=qH_HfGeD1q0,CC BY 4.0,https://incompetech.com/,396,2,incompetech
A 시스템,A3_levelup,레벨업/획득,"Level Up Theme Song ""8 Bit Summer!""",HeatleyBros,TiE9Vvmlxew,https://www.youtube.com/watch?v=TiE9Vvmlxew,Free with attribution,https://www.heatleybros.com/,164,1,channel
A 시스템,A3_levelup,레벨업/획득,Jingle Bells (Remastered) - Royalty Free Christmas Metal,Alexander Nakarada,upN1wn1BUiw,https://www.youtube.com/watch?v=upN1wn1BUiw,CC BY 4.0,https://www.creatorchords.com/,197,1,channel
A 시스템,A3_levelup,레벨업/획득,Kai Engel - Something (Bonus Track) - Music,Kai Engel,6UqEG_TmkZU,https://www.youtube.com/watch?v=6UqEG_TmkZU,CC BY 4.0,https://www.kai-engel.com/,272,2,channel
A 시스템,A3_levelup,레벨업/획득,"Antique Romance & Variety Jingle ""Jingle_Retro""",PeriTune,Cd9VpR_YJk0,https://www.youtube.com/watch?v=Cd9VpR_YJk0,CC BY 4.0,https://peritune.com/,54,1,channel
A 시스템,A3_levelup,레벨업/획득,♩♫ Epic Adventure Music ♪♬ - Treasure Hunter (Copyright and Royalty Free),Ross Bugden,OOcKiROA2UE,https://www.youtube.com/watch?v=OOcKiROA2UE,Free with attribution,https://www.youtube.com/@RossBugden,129,1,channel
A 시스템,A3_levelup,레벨업/획득,Coin Op Chaos,Eric Matyas (Soundimage.org),02ycFaOIJn4,https://www.youtube.com/watch?v=02ycFaOIJn4,Free with attribution,https://soundimage.org/,82,1,channel
A 시스템,A3_levelup,레벨업/획득,Infinite Perspective,Kevin MacLeod,UGOfGUC4o-w,https://www.youtube.com/watch?v=UGOfGUC4o-w,CC BY 4.0,https://incompetech.com/,345,2,incompetech
A 시스템,A3_levelup,레벨업/획득,Epic Soundtrack → Achievement ( !),Alexander Nakarada,Met7W0G42O0,https://www.youtube.com/watch?v=Met7W0G42O0,CC BY 4.0,https://www.creatorchords.com/,118,1,channel
A 시스템,A3_levelup,레벨업/획득,Kai Engel - Walking Barefoot on Grass (Bonus) - Music,Kai Engel,IhANZVipqfo,https://www.youtube.com/watch?v=IhANZVipqfo,CC BY 4.0,https://www.kai-engel.com/,134,1,channel
A 시스템,A3_levelup,레벨업/획득,"Halloween Jingle ""Jingle_Halloween1-5""",PeriTune,Lryrm9lTZUE,https://www.youtube.com/watch?v=Lryrm9lTZUE,CC BY 4.0,https://peritune.com/,38,1,channel
A 시스템,A3_levelup,레벨업/획득,Coin Op Chaos 2,Eric Matyas (Soundimage.org),ajLAT5ovkKw,https://www.youtube.com/watch?v=ajLAT5ovkKw,Free with attribution,https://soundimage.org/,53,1,channel
A 시스템,A3_levelup,레벨업/획득,Morgana Rides,Kevin MacLeod,-dEn77yy_1U,https://www.youtube.com/watch?v=-dEn77yy_1U,CC BY 4.0,https://incompetech.com/,246,2,incompetech
A 시스템,A3_levelup,레벨업/획득,"Royalty Free Uplifting Jingle - ""Intro of Joy""",Alexander Nakarada,Blsmiy_OwGg,https://www.youtube.com/watch?v=Blsmiy_OwGg,CC BY 4.0,https://www.creatorchords.com/,50,1,channel
A 시스템,A3_levelup,레벨업/획득,Vanishing,Kevin MacLeod,giYmsarZNnA,https://www.youtube.com/watch?v=giYmsarZNnA,CC BY 4.0,https://incompetech.com/,235,2,incompetech
A 시스템,A3_levelup,레벨업/획득,Anamalie,Kevin MacLeod,m2TAuiHOHtI,https://www.youtube.com/watch?v=m2TAuiHOHtI,CC BY 4.0,https://incompetech.com/,208,2,incompetech
A 시스템,A3_levelup,레벨업/획득,Angel Share,Kevin MacLeod,BXNVfXbsxWg,https://www.youtube.com/watch?v=BXNVfXbsxWg,CC BY 4.0,https://incompetech.com/,201,2,incompetech
A 시스템,A3_levelup,레벨업/획득,Wretched Destroyer,Kevin MacLeod,vDaVmGkxYlg,https://www.youtube.com/watch?v=vDaVmGkxYlg,CC BY 4.0,https://incompetech.com/,198,2,incompetech
